Time,Speed (m/s)
381,16.272256
382,16.09344
383,15.691104000000001
384,15.244064
385,14.97584
386,14.037056
387,12.96416
388,11.488928
389,10.28192
390,9.074912
391,7.8232
392,6.48208
393,5.36448
394,3.889248
395,2.414016
396,0.9387840000000001
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,1.162304
404,2.6375360000000003
405,4.112768
406,5.588
407,7.063232
408,8.538464000000001
409,10.013696
410,11.176
411,11.444224
412,12.2936
413,12.96416
414,13.4112
415,13.455904
416,13.4112
417,13.277088
418,13.098272
419,12.874752
420,12.51712
421,11.176
422,9.700768
423,8.225536
424,6.750304
425,5.275072000000001
426,3.79984
427,2.324608
428,0.8493759999999999
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,1.4752319999999999
449,2.9504639999999998
450,4.425696
451,5.9009279999999995
452,7.37616
453,8.851392
454,10.326624
455,11.801855999999999
456,12.427712
457,13.008864
458,14.08176
459,14.75232
460,15.020544000000001
461,15.556992
462,15.691104000000001
463,15.914624
464,16.138144
465,16.09344
466,16.138144
467,16.182848
468,16.09344
469,15.959328000000001
470,16.09344
471,16.09344
472,15.914624
473,15.86992
474,15.825216
475,15.735808
476,15.735808
477,15.735808
478,15.735808
479,15.735808
480,15.735808
481,15.6464
482,15.691104000000001
483,15.735808
484,15.86992
485,15.735808
486,15.6464
487,15.6464
488,15.6464
489,15.556992
490,15.467584
491,15.42288
492,14.97584
493,14.30528
494,13.455904
495,12.51712
496,11.399519999999999
497,10.0584
498,8.851392
499,7.37616
500,5.9009279999999995
501,4.604512000000001
502,3.218688
503,1.78816
504,0.44704
505,0.0
506,0.0
507,0.0
508,0.0
509,0.89408
510,2.190496
511,3.621024
512,5.051552
513,6.48208
514,7.733792
515,8.761984
516,9.745472
517,10.72896
518,11.533632
519,12.114784
520,12.51712
521,12.96416
522,13.4112
523,13.724128
524,14.08176
525,14.394688
526,14.707616
527,14.97584
528,15.244064
529,15.467584
530,15.601695999999999
531,15.691104000000001
532,15.959328000000001
533,16.048735999999998
534,16.004032
535,15.780511999999998
536,15.601695999999999
537,15.42288
538,15.467584
539,15.556992
540,15.691104000000001
541,15.959328000000001
542,16.138144
543,16.182848
544,16.316959999999998
545,16.406368
546,16.495776
547,16.54048
548,16.54048
549,16.54048
550,16.54048
551,16.54048
552,16.54048
553,16.585184
554,16.674591999999997
555,16.898111999999998
556,17.255744
557,17.568672
558,17.8816
559,18.194528000000002
560,18.507455999999998
561,18.865088
562,19.178016
563,19.44624
564,19.66976
565,19.803872
566,19.89328
567,20.027392
568,20.072096
569,20.1168
570,20.161504
571,20.295616
572,20.429728
573,20.56384
574,20.697951999999997
575,20.78736
576,20.921471999999998
577,20.966175999999997
578,21.01088
579,21.055584
580,21.100288000000003
581,21.144992
582,21.100288000000003
583,21.055584
584,21.01088
585,20.966175999999997
586,20.966175999999997
587,20.966175999999997
588,21.01088
589,21.055584
590,21.055584
591,21.100288000000003
592,21.055584
593,21.01088
594,20.966175999999997
595,20.78736
596,20.697951999999997
597,20.653248
598,20.697951999999997
599,20.78736
600,20.966175999999997
601,21.055584
602,21.189695999999998
603,21.323808
604,21.45792
605,21.547328
606,21.68144
607,21.815551999999997
608,21.949664000000002
609,21.994368
610,21.949664000000002
611,21.949664000000002
612,21.90496
613,21.90496
614,21.949664000000002
615,21.994368
616,22.039071999999997
617,22.083776
618,22.12848
619,22.12848
620,22.12848
621,22.083776
622,21.949664000000002
623,21.860256
624,21.726144
625,21.636736
626,21.502624
627,21.323808
628,21.189695999999998
629,21.144992
630,21.2344
631,21.368512
632,21.413216
633,21.45792
634,21.413216
635,21.413216
636,21.413216
637,21.45792
638,21.45792
639,21.45792
640,21.413216
641,21.144992
642,20.56384
643,19.356831999999997
644,18.418048000000002
645,17.658079999999998
646,17.523968
647,17.43456
648,17.43456
649,17.479264
650,17.658079999999998
651,17.926304000000002
652,18.32864
653,18.77568
654,19.267424000000002
655,19.535648000000002
656,19.714464
657,19.803872
658,19.848575999999998
659,19.937984
660,19.982688
661,20.072096
662,20.206208
663,20.429728
664,20.519136
665,20.697951999999997
666,20.921471999999998
667,20.966175999999997
668,21.01088
669,21.055584
670,21.279104
671,21.413216
672,21.45792
673,21.45792
674,21.413216
675,21.368512
676,21.144992
677,20.876768000000002
678,20.653248
679,20.519136
680,20.429728
681,20.34032
682,20.295616
683,20.250912
684,20.1168
685,19.66976
686,19.267424000000002
687,18.865088
688,18.55216
689,18.55216
690,18.820384
691,19.178016
692,19.44624
693,19.625056
694,19.490944
695,19.356831999999997
696,19.22272
697,19.267424000000002
698,19.401536
699,19.625056
700,19.803872
701,19.937984
702,20.072096
703,20.027392
704,19.848575999999998
705,19.625056
706,19.401536
707,19.312128
708,19.312128
709,19.267424000000002
710,19.22272
711,19.22272
712,19.267424000000002
713,19.401536
714,19.625056
715,19.66976
716,19.44624
717,19.043904
718,18.55216
719,18.194528000000002
720,17.8816
721,17.8816
722,18.015711999999997
723,18.32864
724,18.77568
725,19.088608
726,19.267424000000002
727,19.312128
728,19.401536
729,19.625056
730,19.803872
731,19.982688
732,20.161504
733,20.295616
734,20.474431999999997
735,20.78736
736,20.966175999999997
737,21.100288000000003
738,21.189695999999998
739,21.144992
740,21.144992
741,21.100288000000003
742,21.100288000000003
743,21.100288000000003
744,21.055584
745,21.01088
746,21.01088
747,20.966175999999997
