Time,Speed (m/s)
499,7.37616
500,5.900928
501,4.604512
502,3.218688
503,1.78816
504,0.44704
505,0
506,0
507,0
508,0
509,0
510,0
511,0.536448
512,1.56464
513,2.45872
514,2.90576
515,3.79984
516,4.291584
517,4.69392
518,5.319776
519,6.25856
520,7.15264
521,7.912608
522,8.49376
523,8.985504
524,9.38784
525,9.83488
526,10.28192
527,10.639552
528,10.95248
529,11.131296
530,11.176
531,11.176
532,11.176
533,11.176
534,11.176
535,11.176
536,11.444224
537,11.533632
538,11.62304
539,11.444224
540,11.265408
541,11.176
542,11.176
543,11.176
544,10.907776
545,10.326624
546,8.851392
547,7.37616
548,5.900928
549,4.425696
550,2.950464
551,1.475232
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,1.475232
570,2.950464
571,4.425696
572,5.81152
573,6.526784
574,7.15264
575,7.59968
576,7.59968
577,7.59968
578,7.8232
579,7.912608
580,7.912608
581,7.8232
582,7.59968
583,7.554976
584,7.420864
585,7.59968
586,7.644384
587,7.59968
588,7.420864
589,7.37616
590,7.37616
591,7.420864
592,7.59968
593,7.867904
594,8.27024
595,8.583168
596,9.030208
597,9.38784
598,9.432544
599,9.477248
600,9.656064
601,9.83488
602,10.013696
603,10.0584
604,10.0584
605,10.0584
606,10.147808
607,10.594848
608,11.220704
609,11.62304
610,11.84656
611,12.07008
612,11.667744
613,10.192512
614,8.71728
615,7.242048
616,5.766816
617,4.291584
618,2.816352
619,1.34112
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0.89408
647,2.01168
648,3.486912
649,4.559808
650,5.588
651,6.25856
652,6.839712
653,7.8232
654,8.761984
655,9.38784
656,9.924288
657,10.416032
658,10.95248
659,11.310112
660,11.444224
661,11.62304
662,11.667744
663,11.712448
664,11.712448
665,11.801856
666,11.84656
667,11.84656
668,11.62304
669,11.39952
670,10.550144
671,9.566656
672,8.27024
673,7.331456
674,6.48208
675,5.185664
676,3.889248
677,2.592832
678,1.56464
679,0.89408
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0.625856
695,1.475232
696,1.966976
697,2.90576
698,4.112768
699,5.051552
700,6.03504
701,6.526784
702,7.331456
703,7.465568
704,7.37616
705,7.37616
706,8.136128
707,8.583168
708,8.985504
709,9.61136
710,10.0584
711,10.0584
712,9.879584
713,10.147808
714,10.416032
715,10.50544
716,10.0584
717,9.656064
718,9.16432
719,8.04672
720,6.7056
721,5.36448
722,4.02336
723,2.771648
724,2.01168
725,1.34112
726,0.938784
727,0.22352
728,0.22352
729,1.430528
730,2.90576
731,4.291584
732,5.588
733,6.25856
734,7.15264
735,8.04672
736,8.761984
737,9.61136
738,10.326624
739,10.95248
740,11.39952
741,11.84656
742,12.114784
743,12.338304
744,12.472416
745,12.651232
746,12.785344
747,12.785344
748,12.651232
749,12.606528
750,12.51712
751,12.2936
752,11.980672
753,11.39952
754,10.50544
755,9.61136
756,8.49376
757,7.37616
758,6.660896
759,5.588
760,4.202176
761,2.771648
762,1.34112
763,0.67056
764,0.67056
765,0.22352
766,0
767,1.34112
768,2.816352
769,4.291584
770,5.766816
771,7.063232
772,7.8232
773,8.225536
774,8.71728
775,9.253728
776,9.83488
777,10.371328
778,11.176
779,11.84656
780,12.2936
781,12.51712
782,12.651232
783,12.919456
784,12.919456
785,12.919456
786,12.874752
787,12.74064
788,12.651232
789,12.651232
790,12.651232
791,12.606528
792,12.338304
793,12.2936
794,12.2936
795,12.2936
796,12.2936
797,12.2936
798,12.2936
799,12.338304
800,12.51712
801,12.74064
802,13.4112
803,13.85824
804,14.30528
805,14.75232
806,14.75232
807,15.020544
808,15.19936
809,15.333472
810,15.288768
811,15.19936
812,15.19936
813,15.154656
814,15.020544
815,14.797024
816,14.75232
817,14.5288
818,14.30528
819,14.260576
820,14.126464
821,14.08176
822,13.679424
823,13.4112
824,13.366496
825,13.366496
826,13.366496
827,13.366496
828,13.232384
829,13.18768
830,13.18768
831,13.098272
832,12.919456
833,12.606528
834,12.383008
835,12.07008
836,11.39952
837,10.594848
838,9.83488
839,9.16432
840,8.583168
841,8.583168
842,8.985504
843,9.343136
844,9.566656
845,9.83488
846,10.103104
847,10.371328
848,10.72896
849,11.176
850,11.62304
851,11.891264
852,11.891264
853,11.980672
854,12.07008
855,12.159488
856,12.427712
857,12.561824
858,12.874752
859,12.919456
860,12.96416
861,13.008864
862,12.96416
863,12.561824
864,12.2936
865,12.07008
866,11.533632
867,11.176
868,10.95248
869,11.086592
870,11.220704
871,11.39952
872,11.488928
873,11.712448
874,12.025376
875,12.2936
876,12.427712
877,12.695936
878,12.96416
879,13.053568
880,13.008864
881,12.96416
882,12.919456
883,12.74064
884,12.561824
885,12.51712
886,12.51712
887,12.338304
888,12.159488
889,11.891264
